candidate_id,committee_id,transaction_date,transaction_amount
H2IL01380,C70002563,5/25/2022 0:00,43721
H4IL07037,C70002563,5/25/2022 0:00,3600
H2IL03154,C70002563,5/25/2022 0:00,39515.02
H2IL01380,C70002563,5/25/2022 0:00,4800
H4IL07037,C70002563,5/25/2022 0:00,38181.56
H8IL06139,C70002563,5/25/2022 0:00,3600
H8IL06139,C70002563,5/25/2022 0:00,32274.33
H2IL03154,C70002563,5/25/2022 0:00,3600
S2AL00145,C70005798,5/25/2022 0:00,115161
H8NV03036,C70002563,5/26/2022 0:00,20818.84
H8NV03036,C70002563,5/26/2022 0:00,1800
S2CA00955,C70006457,5/27/2022 0:00,2732.62
S6PA00274,C70005988,5/30/2022 0:00,33.16
H2IL13120,C70006184,5/31/2022 0:00,16700
H2IL03162,C70006465,5/31/2022 0:00,2946.5
S2AL00145,C70005798,6/1/2022 0:00,14006.63
S6PA00274,C70005988,6/2/2022 0:00,33
S6NJ00289,C70000112,6/4/2022 0:00,899.92
S0IA00028,C70006432,6/5/2022 0:00,61.37
S2AL00145,C70005798,6/7/2022 0:00,14006.62
S2AL00145,C70002563,6/8/2022 0:00,3000
S2AL00145,C70002563,6/8/2022 0:00,41193.57
H2IL13120,C70005798,6/8/2022 0:00,136012.38
S4OK00232,C70006432,6/8/2022 0:00,7.51
S2AL00145,C70005798,6/10/2022 0:00,14006.63
S0ND00093,C70006432,6/12/2022 0:00,12.72
H2PA18200,C70005988,6/13/2022 0:00,130.55
S2NV00324,C70000716,6/13/2022 0:00,74.3
S4OK00232,C70000716,6/14/2022 0:00,1093.55
S2AL00145,C70005798,6/14/2022 0:00,14006.62
H8MS03125,C70002563,6/17/2022 0:00,2400
H2MD04232,C70002563,6/17/2022 0:00,2520
H8MS03125,C70002563,6/17/2022 0:00,6614.75
H2MD04232,C70002563,6/17/2022 0:00,16366.24
H2IL13153,C70000666,6/17/2022 0:00,1906
H0AL01055,C70006432,6/21/2022 0:00,7.15
H8AL02171,C70006432,6/21/2022 0:00,5.98
H6AL04098,C70006432,6/21/2022 0:00,7.47
H4AL06098,C70006432,6/21/2022 0:00,3.94
H2AL03032,C70006432,6/21/2022 0:00,4.21
H2PA18200,C70005988,6/22/2022 0:00,1892.55
S4OK00232,C70000716,6/23/2022 0:00,92.89
H2IL01315,C70006465,6/23/2022 0:00,6805.5
H8MS03125,C70000716,6/24/2022 0:00,14.52
H0MS04120,C70000716,6/24/2022 0:00,17.03
S4OK00232,C70006432,6/26/2022 0:00,20.35
S0UT00165,C70006432,6/26/2022 0:00,19.59
H2UT02324,C70006432,6/26/2022 0:00,6.69
H0UT01205,C70006432,6/26/2022 0:00,4.21
H8UT03238,C70006432,6/26/2022 0:00,4.85
H0UT04076,C70006432,6/26/2022 0:00,3.84
H8MS03125,C70006432,6/26/2022 0:00,4.56
H0MS04120,C70006432,6/26/2022 0:00,5.02
H0MS04120,C70000716,6/27/2022 0:00,17.03
H8MS03125,C70000716,6/27/2022 0:00,14.52
H6CO05159,C70006432,6/27/2022 0:00,3.51
H0CO03165,C70006432,6/27/2022 0:00,9.47
H4CO04090,C70006432,6/27/2022 0:00,5.59
H2PA18200,C70005988,6/28/2022 0:00,1890.85
S0KY00156,C70006432,6/28/2022 0:00,3.12
H2MD04232,C70002563,7/5/2022 0:00,16206.64
H2MO07168,C70002563,7/5/2022 0:00,16861.87
H2MO07168,C70002563,7/5/2022 0:00,2400
H2MD04232,C70002563,7/5/2022 0:00,1200
H8MI11254,C70006184,7/5/2022 0:00,16700
S0AK00063,C70006184,7/6/2022 0:00,16700
H4MI07103,C70006432,7/10/2022 0:00,8.22
H0MI02094,C70006432,7/10/2022 0:00,8.27
H4MI04126,C70006432,7/10/2022 0:00,9.15
H0MI03308,C70006432,7/10/2022 0:00,5.1
H0MI10287,C70006432,7/10/2022 0:00,4.4
H6MI01226,C70006432,7/10/2022 0:00,13.77
H0WA03187,C70002563,7/12/2022 0:00,22803.92
H0WA03187,C70002563,7/12/2022 0:00,2400
H2MD04356,C70004262,7/13/2022 0:00,8.44
H2MN01223,C70006432,7/18/2022 0:00,13.76
S0WI00197,C70006432,7/18/2022 0:00,11.12
H4WA04104,C70002563,7/19/2022 0:00,1800
H4WA04104,C70002563,7/19/2022 0:00,9937.73
H0MN02134,C70006432,7/19/2022 0:00,4.14
H4WA04104,C70006432,7/20/2022 0:00,9.38
H4WA05077,C70006432,7/20/2022 0:00,8.97
H8TN06094,C70006432,7/20/2022 0:00,6.24
H2TN07103,C70006432,7/20/2022 0:00,6.28
H0WA03187,C70006432,7/20/2022 0:00,6.46
H0TN04195,C70006432,7/20/2022 0:00,6.17
H0TN01118,C70006432,7/20/2022 0:00,5.34
H8TN02119,C70006432,7/20/2022 0:00,2.98
H8TN07076,C70006432,7/20/2022 0:00,5.8
H0TN03254,C70006432,7/20/2022 0:00,3.21
S0KS00091,C70006432,7/22/2022 0:00,19.65
H0KS01123,C70006432,7/22/2022 0:00,5.54
H8KS04112,C70006432,7/22/2022 0:00,2.59
H0KS02188,C70006432,7/22/2022 0:00,7.74
H2IL03154,C70001979,7/26/2022 0:00,3474.08
H2NY22139,C70002563,7/27/2022 0:00,2400
H2NY22139,C70002563,7/27/2022 0:00,33282.64
H2IL03154,C70001979,7/27/2022 0:00,2136.68
S2GA00559,C70004569,7/29/2022 0:00,400
H0WA03187,C70006432,7/31/2022 0:00,6.46
H4MI07103,C70006432,7/31/2022 0:00,8.22
H0KS01123,C70006432,7/31/2022 0:00,5.54
H4MI04126,C70006432,7/31/2022 0:00,9.15
H2MI10150,C70006432,7/31/2022 0:00,1.35
H0MI10287,C70006432,7/31/2022 0:00,4.4
H2MO02102,C70006432,7/31/2022 0:00,2.79
H0KS02188,C70006432,7/31/2022 0:00,7.74
H8KS04112,C70006432,7/31/2022 0:00,2.59
H0MO06073,C70006432,7/31/2022 0:00,7.06
H4WA04104,C70006432,7/31/2022 0:00,9.38
S0KS00091,C70006432,7/31/2022 0:00,19.65
H4MO08162,C70006432,7/31/2022 0:00,6.83
H0MI03308,C70006432,7/31/2022 0:00,5.1
H8MO09153,C70006432,7/31/2022 0:00,6.49
H0MI02094,C70006432,7/31/2022 0:00,8.27
H6MI01226,C70006432,7/31/2022 0:00,13.77
H4WA05077,C70006432,7/31/2022 0:00,8.97
S2OH00402,C70000112,8/1/2022 0:00,93.75
S2OH00436,C70000112,8/1/2022 0:00,93.75
H0TN04195,C70006432,8/2/2022 0:00,6.17
H8TN06094,C70006432,8/2/2022 0:00,6.24
H0TN03254,C70006432,8/2/2022 0:00,3.21
H8TN07076,C70006432,8/2/2022 0:00,5.8
H2TN07103,C70006432,8/2/2022 0:00,6.28
H8TN02119,C70006432,8/2/2022 0:00,2.98
H2CA37023,C70006432,8/2/2022 0:00,2.2
H0TN01118,C70006432,8/2/2022 0:00,5.34
S2OH00402,C70000112,8/5/2022 0:00,15.63
H0NY02234,C70002563,8/5/2022 0:00,2400
H0NY02234,C70002563,8/5/2022 0:00,19319.62
H2PA17160,C70006432,8/5/2022 0:00,2.22
H0PA08221,C70006432,8/5/2022 0:00,4.79
H0PA07132,C70006432,8/5/2022 0:00,4.3
S2OH00436,C70000112,8/5/2022 0:00,15.63
H2MN01223,C70006432,8/7/2022 0:00,15.14
S0WI00197,C70006432,8/7/2022 0:00,65.44
S2OH00436,C70000112,8/7/2022 0:00,11.88
S2OH00402,C70000112,8/7/2022 0:00,11.88
H2OH16051,C70006432,8/9/2022 0:00,5.82
H2NY11140,C70006051,8/11/2022 0:00,968.72
H2NY11140,C70006051,8/11/2022 0:00,4710.45
H2NY03188,C70006051,8/11/2022 0:00,5696.48
H2NY22139,C70006051,8/11/2022 0:00,5723.98
H2FL04211,C70002563,8/12/2022 0:00,600
H2FL15241,C70002563,8/12/2022 0:00,600
H2FL04211,C70002563,8/12/2022 0:00,4791.13
H2FL15241,C70002563,8/12/2022 0:00,5345.17
H2NY19127,C70006432,8/14/2022 0:00,5.75
S2OH00402,C70000112,8/15/2022 0:00,15.63
S2OH00436,C70000112,8/15/2022 0:00,15.63
H8VA02111,C70000112,8/16/2022 0:00,31.25
H2NY03188,C70001755,8/16/2022 0:00,10700.65
H0NY18143,C70001755,8/16/2022 0:00,9596.52
H4NY04138,C70001755,8/16/2022 0:00,11201.3
H2IN01172,C70006432,8/16/2022 0:00,4.4
S6IN00191,C70006432,8/16/2022 0:00,12.76
S2OH00436,C70000112,8/16/2022 0:00,29.63
S2OH00402,C70000112,8/16/2022 0:00,29.63
S0GA00559,C70005988,8/17/2022 0:00,20.85
H2NY22139,C70006325,8/17/2022 0:00,366.93
H4NY04158,C70006325,8/17/2022 0:00,449.69
H2NY23228,C70006325,8/17/2022 0:00,315.84
H0NY02234,C70006325,8/17/2022 0:00,484.41
H8VA02111,C70000112,8/17/2022 0:00,31.25
S2GA00559,C70004569,8/18/2022 0:00,18.54
H0IN01150,C70000112,8/19/2022 0:00,625
H0FL08208,C70006432,8/21/2022 0:00,2.77
H2NY19127,C70006432,8/21/2022 0:00,5.75
H4NY22051,C70006432,8/21/2022 0:00,12.77
S2OH00402,C70000112,8/23/2022 0:00,15.63
H2PA17103,C70000666,8/23/2022 0:00,518.95
S6PA00274,C70000666,8/23/2022 0:00,518.95
H4AR02141,C70006432,8/23/2022 0:00,3.08
S2OH00436,C70000112,8/23/2022 0:00,15.63
H8VA02111,C70000112,8/24/2022 0:00,31.25
S2OH00402,C70000112,8/24/2022 0:00,31.25
S2OH00436,C70000112,8/24/2022 0:00,31.25
H8VA10106,C70000112,8/24/2022 0:00,62.5
H8VA02111,C70000112,8/27/2022 0:00,31.25
S2OH00436,C70000112,8/27/2022 0:00,15.63
S2OH00402,C70000112,8/27/2022 0:00,15.63
H8VA07094,C70000112,8/27/2022 0:00,62.5
H8VA02111,C70000112,8/27/2022 0:00,31.25
H2OH09031,C70000112,8/27/2022 0:00,31.25
H0IN01150,C70000112,8/28/2022 0:00,625
S2WI00441,C70000112,8/29/2022 0:00,62.5
S2OH00402,C70000120,8/29/2022 0:00,1075
H2OH09031,C70000120,8/29/2022 0:00,1075
H2OR06066,C70004262,8/29/2022 0:00,6848.72
H2OH09163,C70006432,8/29/2022 0:00,4.8
S2OH00436,C70000112,8/29/2022 0:00,31.25
S2OH00402,C70000112,8/29/2022 0:00,31.25
S2NC00497,C70000112,8/29/2022 0:00,475
S2OH00436,C70000112,8/30/2022 0:00,98.75
H2VA02064,C70006432,8/30/2022 0:00,3.91
S2WI00441,C70000112,8/30/2022 0:00,62.5
S2OH00436,C70000112,8/30/2022 0:00,31.25
H0IN01150,C70000112,8/30/2022 0:00,625
S2OH00402,C70000112,8/30/2022 0:00,98.75
S2OH00402,C70000112,8/30/2022 0:00,31.25
S2WI00441,C70000112,8/30/2022 0:00,62.5
H2WI03122,C70004262,8/31/2022 0:00,5333.5
S2CA00955,C70004262,8/31/2022 0:00,103.09
H2CO08020,C70004262,8/31/2022 0:00,103.09
S6NH00091,C70004262,8/31/2022 0:00,141.75
S2NC00497,C70004262,8/31/2022 0:00,77.32
H2OR06066,C70004262,8/31/2022 0:00,103.09
H8VA07094,C70004262,8/31/2022 0:00,103.08
S2WA00189,C70004262,8/31/2022 0:00,154.62
S6OR00110,C70004262,8/31/2022 0:00,4345.17
S6NV00200,C70004262,8/31/2022 0:00,10898.68
H2OR04095,C70004262,8/31/2022 0:00,4345.17
S4CA00522,C70004262,8/31/2022 0:00,3555.67
H2NC14019,C70004262,8/31/2022 0:00,7334.19
H6FL13189,C70004262,8/31/2022 0:00,8886.25
H0MI03316,C70004262,8/31/2022 0:00,103.09
H8CO07045,C70004262,8/31/2022 0:00,5134.67
S2NC00497,C70004262,8/31/2022 0:00,7334.19
S2GA00559,C70004262,8/31/2022 0:00,24273.43
H2OH09031,C70004262,8/31/2022 0:00,4345.17
S2GA00559,C70004262,8/31/2022 0:00,347.92
H0NH02181,C70004262,8/31/2022 0:00,103.09
H8NC13067,C70004262,8/31/2022 0:00,77.32
H8CA49058,C70004262,8/31/2022 0:00,3555.66
H6AZ01199,C70004262,8/31/2022 0:00,77.32
S6PA00274,C70004262,8/31/2022 0:00,141.75
H2MI05119,C70004262,8/31/2022 0:00,5134.66
S6PA00274,C70004262,8/31/2022 0:00,4476.25
S0CO00211,C70004262,8/31/2022 0:00,5134.67
H8NC13067,C70004262,8/31/2022 0:00,7334.19
S2OH00402,C70004262,8/31/2022 0:00,4345.17
H2AZ02311,C70004262,8/31/2022 0:00,77.32
H6NV04020,C70004262,8/31/2022 0:00,154.63
